candidate_id,age,gender,education,years_experience,assessment_score,referral_source,role_applied,hired,skills_score,interview_score,projects_count,certifications_count,employment_gap_months,job_role,application_source,company_tier,college_tier,zip_code
CAND-001,24,Female,Master,3,57,Company Website,QA Engineer,0,86,47,0,2,0,tech,referral,2,3,59950
CAND-002,50,Male,Master,9,60,LinkedIn,Data Scientist,0,49,30,4,3,12,tech,portal,1,3,66361
CAND-003,45,Male,Bachelor,5,60,Company Website,Software Engineer,1,95,76,6,4,3,management,recruiter,3,3,71451
CAND-004,37,Female,Bachelor,10,67,LinkedIn,QA Engineer,0,55,67,11,4,0,non-tech,recruiter,2,2,47696
CAND-005,37,Female,Master,8,63,Employee Referral,Software Engineer,1,58,80,3,4,0,tech,referral,2,3,91641
CAND-006,53,Female,High School,9,54,Employee Referral,Software Engineer,0,37,92,3,3,0,tech,referral,2,3,78226
CAND-007,24,Non-binary,Bachelor,4,50,LinkedIn,QA Engineer,0,56,33,3,4,0,tech,recruiter,2,3,56728
CAND-008,47,Female,Bachelor,11,51,LinkedIn,Data Scientist,0,87,30,11,0,3,non-tech,recruiter,1,4,65401
CAND-009,28,Male,Master,2,47,Company Website,HR Analyst,0,36,37,5,4,0,tech,recruiter,2,4,76226
CAND-010,24,Male,High School,4,45,Employee Referral,Product Manager,0,64,58,6,1,0,non-tech,referral,2,5,35103
CAND-011,41,Male,Bachelor,6,47,Employee Referral,Product Manager,1,72,84,1,3,0,management,referral,2,2,44263
CAND-012,58,Female,Bachelor,16,72,Employee Referral,Data Scientist,0,36,32,4,1,36,tech,referral,3,1,86621
CAND-013,48,Male,Bachelor,10,70,Company Website,Software Engineer,1,98,61,3,4,6,tech,portal,2,3,60044
CAND-014,49,Female,High School,9,49,LinkedIn,HR Analyst,0,94,39,2,0,6,tech,referral,1,4,67730
CAND-015,48,Male,Bachelor,13,67,Company Website,Software Engineer,0,55,63,6,2,0,tech,recruiter,1,3,35825
CAND-016,50,Male,Bachelor,6,47,LinkedIn,Data Scientist,1,67,84,10,4,6,tech,referral,1,4,86256
CAND-017,40,Male,Bachelor,11,59,Employee Referral,Software Engineer,1,92,61,11,0,6,tech,referral,1,3,47271
CAND-018,25,Male,High School,1,41,LinkedIn,Software Engineer,0,56,79,5,3,3,management,referral,2,5,87256
CAND-019,52,Female,Bachelor,18,75,LinkedIn,Product Manager,0,83,36,6,1,36,tech,portal,1,5,56732
CAND-020,38,Male,Bachelor,6,50,Company Website,QA Engineer,0,93,37,4,1,0,tech,referral,1,1,76433
CAND-021,40,Female,High School,12,68,Company Website,QA Engineer,1,76,94,5,1,24,management,recruiter,1,3,92630
CAND-022,35,Male,Master,5,55,Company Website,QA Engineer,1,94,86,4,3,18,non-tech,portal,1,3,33572
CAND-023,27,Female,Bachelor,9,54,Company Website,Data Scientist,0,49,88,6,0,0,tech,portal,1,2,48546
CAND-024,56,Female,Master,17,62,Recruiter,Data Scientist,1,96,83,1,3,0,non-tech,recruiter,1,3,25150
CAND-025,50,Female,PhD,11,68,Employee Referral,Software Engineer,1,96,80,10,1,24,tech,portal,2,3,64165
CAND-026,45,Female,High School,4,57,Employee Referral,QA Engineer,0,81,37,4,4,0,non-tech,portal,2,2,73690
CAND-027,36,Female,Bachelor,9,61,Company Website,Data Scientist,0,96,63,5,2,3,non-tech,recruiter,1,3,63664
CAND-028,52,Male,Master,11,82,Company Website,Product Manager,0,85,64,5,3,24,non-tech,referral,2,3,92335
CAND-029,41,Male,Bachelor,10,72,Company Website,Software Engineer,1,89,61,4,3,3,tech,referral,2,1,85199
CAND-030,37,Female,Bachelor,7,54,Company Website,QA Engineer,1,98,75,9,0,0,non-tech,recruiter,1,3,46948
CAND-031,38,Female,Bachelor,8,55,LinkedIn,QA Engineer,0,37,45,6,0,3,tech,portal,1,2,47030
CAND-032,29,Female,High School,4,54,Company Website,QA Engineer,0,85,66,9,3,0,tech,referral,2,4,37007
CAND-033,24,Male,Bachelor,0,41,LinkedIn,Software Engineer,0,41,83,7,1,3,tech,referral,2,2,86772
CAND-034,42,Female,PhD,7,70,LinkedIn,HR Analyst,0,55,43,6,2,0,tech,recruiter,1,4,32024
CAND-035,54,Female,PhD,9,66,Employee Referral,Software Engineer,0,73,84,4,0,3,tech,referral,1,3,49384
CAND-036,23,Female,High School,5,53,LinkedIn,Data Scientist,0,52,77,0,1,3,non-tech,referral,3,2,92912
CAND-037,53,Male,Master,19,80,Company Website,Software Engineer,0,38,36,4,4,6,management,referral,1,3,28157
CAND-038,52,Female,Bachelor,16,82,Company Website,Software Engineer,0,94,36,9,0,3,tech,referral,1,3,95481
CAND-039,31,Male,Master,5,58,LinkedIn,Product Manager,0,48,62,1,1,3,tech,recruiter,3,3,98553
CAND-040,45,Male,High School,9,55,Recruiter,Software Engineer,0,43,52,4,1,3,tech,referral,3,3,11756
CAND-041,27,Male,Master,3,66,LinkedIn,Data Scientist,0,87,48,4,2,0,tech,referral,2,3,78112
CAND-042,49,Male,Master,12,73,Recruiter,Product Manager,0,36,48,1,2,3,tech,referral,2,2,68051
CAND-043,47,Male,High School,8,52,Employee Referral,QA Engineer,1,94,65,4,4,0,management,referral,1,1,74595
CAND-044,34,Female,High School,2,48,LinkedIn,Product Manager,0,78,58,3,1,18,tech,referral,1,4,88210
CAND-045,23,Male,Master,3,56,LinkedIn,Product Manager,0,42,89,0,1,0,tech,recruiter,2,3,53094
CAND-046,57,Male,High School,8,58,LinkedIn,Software Engineer,0,81,31,2,2,0,tech,referral,1,3,97889
CAND-047,37,Female,Bachelor,9,48,Company Website,QA Engineer,0,69,30,0,0,3,management,recruiter,2,4,14535
CAND-048,54,Male,Master,9,49,LinkedIn,Software Engineer,1,70,76,11,0,0,non-tech,recruiter,3,3,66035
CAND-049,46,Female,Bachelor,6,48,Recruiter,Software Engineer,0,84,49,10,3,0,management,referral,3,4,57367
CAND-050,50,Male,Bachelor,14,58,LinkedIn,Software Engineer,0,38,40,4,2,3,non-tech,referral,1,3,27118
CAND-051,49,Male,Bachelor,14,60,Employee Referral,Product Manager,0,36,31,3,3,3,tech,recruiter,2,1,69812
CAND-052,28,Male,High School,5,56,LinkedIn,Data Scientist,0,40,41,6,2,6,tech,referral,2,5,69884
CAND-053,34,Male,PhD,4,56,Recruiter,Product Manager,0,88,49,4,4,0,non-tech,recruiter,3,3,76168
CAND-054,38,Male,Bachelor,8,60,LinkedIn,Data Scientist,0,38,34,9,1,3,tech,referral,1,4,23280
CAND-055,39,Male,Bachelor,9,49,Company Website,Data Scientist,0,88,66,3,4,0,non-tech,referral,1,2,24746
CAND-056,22,Male,Bachelor,0,44,Company Website,Data Scientist,0,97,67,1,2,3,tech,portal,1,3,63251
CAND-057,41,Female,PhD,8,67,LinkedIn,Software Engineer,0,52,38,3,1,3,tech,referral,2,4,94821
CAND-058,26,Male,High School,2,52,Employee Referral,Data Scientist,1,78,82,11,0,3,non-tech,recruiter,2,1,93583
CAND-059,49,Male,Master,10,57,LinkedIn,Product Manager,0,68,73,1,0,0,non-tech,referral,2,4,20207
CAND-060,46,Female,Master,9,63,Company Website,Product Manager,1,96,53,7,3,0,non-tech,referral,2,3,81127
CAND-061,56,Female,Master,21,94,Company Website,Software Engineer,0,48,59,2,2,0,tech,recruiter,1,3,37757
CAND-062,49,Male,PhD,9,63,Company Website,Product Manager,1,82,88,8,2,0,non-tech,referral,2,3,26226
CAND-063,34,Female,Master,7,54,LinkedIn,Data Scientist,0,49,43,3,0,0,tech,referral,1,4,71407
CAND-064,57,Female,Master,14,67,LinkedIn,Software Engineer,0,96,38,5,4,3,tech,recruiter,3,1,37206
CAND-065,36,Female,High School,5,52,LinkedIn,Software Engineer,0,74,69,9,1,0,tech,referral,3,2,30256
CAND-066,33,Female,Master,12,64,LinkedIn,Data Scientist,0,87,54,4,4,18,tech,portal,3,4,43822
CAND-067,55,Female,Bachelor,8,58,LinkedIn,Data Scientist,0,58,51,9,4,0,tech,referral,3,4,51340
CAND-068,35,Male,Bachelor,8,46,Recruiter,Product Manager,0,60,33,0,0,6,tech,referral,1,1,62234
CAND-069,23,Female,Master,1,44,Company Website,Software Engineer,0,94,55,8,0,3,tech,portal,1,3,53351
CAND-070,38,Male,PhD,10,63,Company Website,QA Engineer,1,75,87,0,0,0,tech,referral,2,3,58671
CAND-071,51,Male,Master,9,60,LinkedIn,Software Engineer,0,63,58,7,3,0,tech,referral,3,3,85320
CAND-072,28,Female,Bachelor,3,47,LinkedIn,Product Manager,0,49,66,8,4,3,tech,portal,1,2,45157
CAND-073,38,Female,Bachelor,11,60,Company Website,QA Engineer,0,79,47,8,2,0,tech,referral,1,3,29937
CAND-074,25,Male,Bachelor,3,52,LinkedIn,Data Scientist,1,99,71,0,1,18,non-tech,portal,3,2,64290
CAND-075,47,Female,Bachelor,8,65,LinkedIn,Software Engineer,0,43,70,1,3,3,tech,referral,1,4,56707
CAND-076,39,Female,Bachelor,8,57,Company Website,Data Scientist,0,35,67,11,2,18,tech,recruiter,2,4,21219
CAND-077,33,Male,High School,5,54,Company Website,HR Analyst,0,42,63,0,4,0,tech,referral,2,3,19399
CAND-078,29,Non-binary,High School,3,44,Recruiter,HR Analyst,0,97,46,9,0,6,non-tech,portal,1,2,37657
CAND-079,42,Male,Master,7,64,LinkedIn,Software Engineer,0,45,66,1,4,3,management,portal,1,2,30047
CAND-080,46,Female,Bachelor,7,60,Company Website,QA Engineer,0,42,54,9,1,6,non-tech,portal,2,3,86095
CAND-081,56,Male,Master,20,82,LinkedIn,Data Scientist,1,69,56,11,3,0,non-tech,referral,2,4,95693
CAND-082,37,Male,Bachelor,5,60,LinkedIn,Software Engineer,1,69,86,7,3,3,tech,portal,3,3,82154
CAND-083,27,Female,High School,1,51,Employee Referral,Product Manager,0,67,60,4,1,0,non-tech,referral,2,3,54891
CAND-084,52,Male,High School,6,52,LinkedIn,Data Scientist,0,39,35,11,2,6,non-tech,portal,1,3,16780
CAND-085,44,Female,Bachelor,8,60,Company Website,Data Scientist,0,75,69,10,2,0,tech,recruiter,2,3,37050
CAND-086,47,Female,PhD,12,76,Company Website,QA Engineer,0,62,41,6,3,18,tech,portal,2,1,83551
CAND-087,24,Male,Bachelor,4,48,LinkedIn,Data Scientist,0,41,82,1,3,0,tech,portal,1,1,78666
CAND-088,32,Female,Bachelor,6,50,Recruiter,Product Manager,0,46,39,7,0,12,management,recruiter,2,2,92016
CAND-089,50,Female,Master,9,63,Company Website,Data Scientist,0,68,74,10,2,12,non-tech,portal,1,3,63010
CAND-090,52,Male,PhD,8,65,Employee Referral,Software Engineer,0,67,46,5,1,12,non-tech,portal,1,4,48165
CAND-091,37,Non-binary,Bachelor,3,45,Company Website,Data Scientist,0,82,55,7,2,3,tech,referral,1,4,21528
CAND-092,51,Male,High School,5,51,Recruiter,HR Analyst,0,57,91,0,0,0,tech,referral,2,2,59608
CAND-093,52,Male,High School,11,58,LinkedIn,Data Scientist,1,96,75,0,3,36,tech,referral,2,2,15914
CAND-094,35,Non-binary,High School,2,35,Company Website,Software Engineer,1,71,93,11,3,0,tech,portal,2,2,47136
CAND-095,55,Female,Bachelor,17,67,Employee Referral,Product Manager,0,78,31,6,0,3,non-tech,referral,2,3,21179
CAND-096,31,Female,Bachelor,5,53,LinkedIn,HR Analyst,1,69,83,7,1,3,non-tech,portal,3,3,96008
CAND-097,30,Female,Master,8,59,Company Website,HR Analyst,1,99,94,2,3,6,tech,portal,1,3,22076
CAND-098,46,Female,Bachelor,12,74,Recruiter,Product Manager,1,81,80,4,4,0,non-tech,recruiter,1,2,34783
CAND-099,45,Male,Bachelor,8,48,Company Website,Data Scientist,0,37,82,11,3,3,tech,referral,1,2,56716
CAND-100,26,Female,Bachelor,0,41,Employee Referral,Product Manager,0,35,65,0,4,12,management,portal,1,1,60298
CAND-101,52,Male,Master,9,41,Company Website,QA Engineer,0,39,55,6,0,0,tech,referral,2,2,64304
CAND-102,28,Female,Bachelor,5,50,Employee Referral,QA Engineer,0,48,58,4,0,18,tech,portal,2,4,89360
CAND-103,51,Female,Master,10,60,Employee Referral,QA Engineer,0,61,50,7,3,0,tech,recruiter,2,2,79835
CAND-104,21,Male,Master,3,50,Company Website,Data Scientist,0,43,40,7,2,0,tech,portal,1,3,18118
CAND-105,51,Female,Bachelor,8,67,LinkedIn,Software Engineer,0,49,69,8,4,0,tech,portal,2,3,86292
CAND-106,50,Female,High School,9,63,LinkedIn,Product Manager,0,76,40,6,1,0,non-tech,referral,2,4,66911
CAND-107,50,Female,Bachelor,9,60,Company Website,Software Engineer,0,85,65,10,3,18,management,referral,1,4,83489
CAND-108,46,Male,Bachelor,11,59,Employee Referral,Software Engineer,1,97,88,0,1,0,non-tech,referral,2,4,25185
CAND-109,38,Male,Master,11,72,Company Website,Data Scientist,1,86,68,2,3,0,tech,portal,3,1,51792
CAND-110,47,Male,Bachelor,3,52,LinkedIn,Product Manager,0,38,83,7,2,0,non-tech,portal,2,3,90210
CAND-111,31,Female,Master,3,48,LinkedIn,QA Engineer,0,57,84,2,2,3,tech,referral,2,4,60613
CAND-112,50,Female,Bachelor,5,41,Company Website,QA Engineer,0,49,53,7,2,3,tech,portal,2,1,43927
CAND-113,42,Male,Bachelor,7,53,Employee Referral,QA Engineer,0,77,51,0,2,0,non-tech,recruiter,1,3,10386
CAND-114,38,Male,Bachelor,5,60,LinkedIn,QA Engineer,0,63,85,4,0,0,non-tech,portal,2,4,82728
CAND-115,40,Male,Bachelor,5,72,Company Website,Product Manager,0,70,62,3,0,18,tech,referral,1,3,86281
CAND-116,42,Male,Bachelor,7,57,Employee Referral,Software Engineer,0,47,65,4,4,0,tech,referral,1,1,40020
CAND-117,22,Male,Bachelor,2,44,Recruiter,Product Manager,0,66,49,7,1,0,management,portal,2,1,52678
CAND-118,26,Female,Bachelor,0,39,LinkedIn,Software Engineer,1,93,91,9,3,0,tech,referral,3,3,96695
CAND-119,30,Female,Master,4,60,Recruiter,Software Engineer,0,62,55,3,3,6,tech,recruiter,2,2,71394
CAND-120,25,Male,High School,6,38,Company Website,Software Engineer,1,76,69,10,0,0,non-tech,portal,2,3,78945
CAND-121,37,Female,Master,3,59,Employee Referral,QA Engineer,0,79,46,3,3,3,tech,recruiter,3,4,66414
CAND-122,46,Male,Bachelor,7,63,LinkedIn,QA Engineer,0,96,30,2,0,0,tech,referral,3,2,64816
CAND-123,45,Male,High School,10,61,Company Website,HR Analyst,1,91,90,6,4,36,tech,portal,2,4,65918
CAND-124,38,Male,Bachelor,5,52,Company Website,HR Analyst,0,40,72,2,1,0,non-tech,referral,1,3,72694
CAND-125,53,Male,Bachelor,9,64,LinkedIn,HR Analyst,0,62,71,11,4,6,non-tech,portal,3,2,39455
CAND-126,42,Male,Bachelor,9,61,Company Website,Software Engineer,0,62,54,2,2,0,non-tech,referral,1,4,48735
CAND-127,24,Male,Bachelor,2,44,Company Website,QA Engineer,1,78,68,10,2,0,management,recruiter,2,4,22109
CAND-128,50,Male,PhD,14,84,Company Website,QA Engineer,0,64,64,9,2,6,non-tech,recruiter,1,3,55802
CAND-129,42,Male,Bachelor,7,54,LinkedIn,QA Engineer,0,96,32,4,4,0,tech,recruiter,2,4,78020
CAND-130,45,Female,Bachelor,10,67,Company Website,Software Engineer,1,96,73,4,3,12,tech,recruiter,1,4,44622
CAND-131,42,Male,Bachelor,11,42,LinkedIn,Software Engineer,0,35,80,5,1,18,non-tech,referral,2,4,12597
CAND-132,42,Male,High School,7,64,Recruiter,HR Analyst,0,61,41,7,2,12,non-tech,portal,2,3,50597
CAND-133,24,Female,Bachelor,5,66,Recruiter,Software Engineer,0,96,48,9,2,0,non-tech,referral,1,4,50954
CAND-134,42,Female,Bachelor,4,53,LinkedIn,Data Scientist,0,37,73,5,2,6,non-tech,portal,2,5,79519
CAND-135,51,Male,Bachelor,7,61,LinkedIn,Data Scientist,1,61,88,11,1,0,tech,referral,3,4,66115
CAND-136,32,Male,High School,6,57,LinkedIn,Software Engineer,0,43,78,0,2,12,tech,referral,3,2,53151
CAND-137,43,Female,PhD,13,63,Company Website,Software Engineer,1,96,90,7,1,3,tech,portal,1,3,27040
CAND-138,22,Female,Bachelor,0,52,Employee Referral,HR Analyst,0,71,46,7,2,12,tech,portal,2,3,54772
CAND-139,34,Female,Master,9,55,Company Website,QA Engineer,1,85,86,8,4,0,tech,portal,2,2,73832
CAND-140,37,Female,Bachelor,6,51,LinkedIn,HR Analyst,1,78,84,8,4,3,non-tech,referral,2,5,37916
CAND-141,58,Male,High School,11,68,LinkedIn,Software Engineer,0,58,76,1,1,0,non-tech,referral,1,2,54871
CAND-142,29,Female,Master,8,68,LinkedIn,Software Engineer,0,93,41,1,4,6,tech,referral,2,2,36372
CAND-143,31,Female,Bachelor,10,55,Employee Referral,Data Scientist,1,66,91,2,1,0,tech,referral,3,5,71707
CAND-144,36,Male,Master,7,53,Company Website,Data Scientist,0,86,37,0,4,3,tech,referral,2,3,49080
CAND-145,58,Female,Bachelor,18,65,Company Website,Software Engineer,0,96,50,3,4,6,tech,portal,2,1,52722
CAND-146,53,Female,Bachelor,16,74,LinkedIn,QA Engineer,0,92,54,3,1,3,non-tech,portal,2,3,39048
CAND-147,22,Male,Master,0,43,Recruiter,HR Analyst,0,86,41,8,3,0,non-tech,referral,1,3,95205
CAND-148,29,Male,Bachelor,0,51,LinkedIn,Data Scientist,0,46,44,8,4,3,non-tech,referral,2,1,19777
CAND-149,52,Non-binary,Bachelor,8,64,Employee Referral,Data Scientist,1,73,88,8,2,0,non-tech,portal,2,5,64711
CAND-150,23,Male,Bachelor,1,49,Recruiter,Data Scientist,0,36,55,9,3,0,non-tech,portal,1,3,46331
CAND-151,53,Male,Bachelor,10,69,Company Website,Software Engineer,0,37,55,6,1,0,tech,portal,3,3,30968
CAND-152,31,Male,PhD,6,57,Recruiter,Software Engineer,1,90,76,1,3,0,tech,referral,1,3,63969
CAND-153,55,Male,Bachelor,16,66,LinkedIn,Data Scientist,1,93,61,9,0,0,tech,portal,3,3,21292
CAND-154,32,Male,Bachelor,3,44,Employee Referral,Data Scientist,0,36,39,4,0,6,management,referral,2,2,50794
CAND-155,37,Non-binary,Master,7,67,LinkedIn,Product Manager,0,36,45,3,4,0,tech,recruiter,1,2,89459
CAND-156,46,Male,Bachelor,11,56,Company Website,QA Engineer,1,88,46,11,4,0,tech,portal,2,3,60192
CAND-157,25,Male,Master,0,53,LinkedIn,Software Engineer,0,35,52,10,2,18,management,recruiter,2,4,37703
CAND-158,42,Female,Bachelor,9,59,LinkedIn,Software Engineer,0,53,55,7,3,0,management,referral,1,1,94193
CAND-159,40,Male,Bachelor,5,46,LinkedIn,Software Engineer,0,36,36,1,0,3,non-tech,referral,2,3,79165
CAND-160,50,Female,Master,16,66,LinkedIn,Software Engineer,0,87,43,5,4,6,tech,referral,2,4,77650
CAND-161,58,Male,High School,18,79,Company Website,Product Manager,0,78,36,4,3,24,tech,referral,2,2,66516
CAND-162,46,Male,Bachelor,15,68,Company Website,QA Engineer,0,66,38,11,4,6,tech,referral,1,1,32257
CAND-163,36,Non-binary,Bachelor,8,50,LinkedIn,HR Analyst,0,66,77,1,4,6,tech,referral,2,3,93509
CAND-164,36,Non-binary,Master,4,58,Recruiter,Product Manager,1,89,88,10,0,12,tech,portal,1,3,61672
CAND-165,36,Female,Master,9,61,Recruiter,Data Scientist,0,90,68,9,0,0,tech,portal,2,2,73308
CAND-166,51,Male,Bachelor,5,82,LinkedIn,Software Engineer,0,51,47,0,4,12,management,portal,1,3,87583
CAND-167,33,Male,High School,5,54,Company Website,Data Scientist,1,72,88,7,1,0,tech,portal,3,3,32113
CAND-168,27,Female,PhD,4,54,Company Website,Data Scientist,0,58,46,1,4,18,non-tech,portal,2,3,10694
CAND-169,33,Female,High School,5,63,Employee Referral,QA Engineer,0,45,43,6,4,0,non-tech,portal,2,2,25588
CAND-170,21,Female,Bachelor,3,37,Company Website,Data Scientist,0,50,60,8,2,3,tech,referral,2,3,71756
CAND-171,25,Male,Bachelor,0,49,Employee Referral,Software Engineer,0,93,53,8,2,0,non-tech,recruiter,1,4,74085
CAND-172,24,Male,Bachelor,0,64,LinkedIn,Software Engineer,0,37,89,7,2,6,tech,recruiter,1,5,71142
CAND-173,50,Non-binary,Master,15,68,LinkedIn,Software Engineer,0,54,74,10,1,0,tech,referral,3,4,74373
CAND-174,48,Male,Master,7,45,Employee Referral,HR Analyst,0,93,32,11,1,12,non-tech,referral,3,3,95603
CAND-175,47,Non-binary,Master,16,67,Company Website,Software Engineer,0,70,66,9,4,12,tech,recruiter,1,3,16704
CAND-176,38,Female,High School,8,67,Employee Referral,Software Engineer,0,53,72,8,2,0,management,referral,2,3,50136
CAND-177,48,Male,Bachelor,3,55,LinkedIn,Software Engineer,0,53,69,1,1,12,tech,portal,2,2,77507
CAND-178,27,Female,Bachelor,6,49,LinkedIn,QA Engineer,0,54,84,5,0,6,non-tech,recruiter,2,2,57361
CAND-179,55,Male,High School,12,55,LinkedIn,Data Scientist,1,86,68,3,4,3,tech,referral,1,3,68847
CAND-180,40,Male,Bachelor,10,56,LinkedIn,Product Manager,0,67,44,3,3,0,tech,referral,1,2,21441
CAND-181,56,Male,Bachelor,14,68,LinkedIn,Data Scientist,0,74,33,4,4,0,tech,portal,1,2,24677
CAND-182,26,Male,High School,8,66,Company Website,Software Engineer,0,73,54,11,3,0,non-tech,portal,3,5,37818
CAND-183,39,Female,Bachelor,5,63,Company Website,QA Engineer,0,35,42,2,2,0,non-tech,recruiter,2,2,11868
CAND-184,47,Female,Master,7,63,Employee Referral,Software Engineer,0,45,62,0,3,18,non-tech,referral,2,2,93591
CAND-185,39,Female,High School,9,46,Company Website,Software Engineer,0,91,45,7,2,0,tech,portal,3,1,77264
CAND-186,37,Female,Bachelor,6,45,LinkedIn,Product Manager,0,84,71,4,0,12,non-tech,portal,2,3,83168
CAND-187,27,Male,Master,5,61,Employee Referral,Software Engineer,0,57,84,2,3,0,non-tech,referral,3,3,22043
CAND-188,35,Male,Master,11,53,LinkedIn,Software Engineer,0,65,71,9,4,3,non-tech,referral,2,3,81939
CAND-189,30,Male,Master,3,52,Employee Referral,QA Engineer,0,76,63,6,2,6,tech,portal,1,3,25732
CAND-190,32,Male,Bachelor,7,59,LinkedIn,Data Scientist,0,41,59,6,4,18,non-tech,recruiter,3,4,65244
CAND-191,46,Male,Master,6,49,Company Website,Software Engineer,0,50,42,0,1,0,non-tech,portal,2,4,28526
CAND-192,44,Male,Bachelor,6,47,Recruiter,Data Scientist,0,94,42,11,2,0,tech,portal,1,5,19340
CAND-193,44,Female,Bachelor,6,55,Company Website,QA Engineer,0,36,47,8,3,0,non-tech,referral,2,4,32394
CAND-194,34,Female,High School,4,54,Company Website,Software Engineer,0,35,61,1,2,0,non-tech,portal,1,3,14102
CAND-195,57,Male,Bachelor,15,75,Employee Referral,Software Engineer,1,82,68,4,4,0,tech,recruiter,2,2,29159
CAND-196,24,Male,Bachelor,2,55,LinkedIn,Product Manager,0,46,75,4,0,0,tech,referral,3,1,75092
CAND-197,34,Female,Bachelor,3,52,Employee Referral,Product Manager,0,71,58,7,2,0,tech,recruiter,3,1,16212
CAND-198,25,Male,Master,2,47,Recruiter,HR Analyst,1,66,91,7,3,6,non-tech,portal,3,3,47405
CAND-199,33,Male,Bachelor,1,41,Recruiter,Data Scientist,0,43,91,6,1,0,non-tech,portal,1,4,87061
CAND-200,57,Female,Bachelor,11,58,Company Website,Software Engineer,1,53,86,6,0,0,tech,portal,2,3,65186
CAND-201,34,Female,High School,9,60,LinkedIn,Data Scientist,0,82,45,11,1,0,non-tech,referral,1,1,54239
CAND-202,55,Male,Bachelor,9,62,Employee Referral,Product Manager,1,37,85,10,2,6,management,referral,3,3,20532
CAND-203,39,Male,Bachelor,6,39,Company Website,Software Engineer,0,54,39,5,4,12,tech,recruiter,2,5,89054
CAND-204,47,Female,Bachelor,11,55,LinkedIn,Product Manager,0,58,59,5,4,3,management,referral,2,3,82012
CAND-205,38,Male,Bachelor,12,73,LinkedIn,Software Engineer,1,88,54,10,3,6,management,recruiter,2,4,95279
CAND-206,31,Female,Master,7,60,LinkedIn,QA Engineer,0,67,34,8,4,0,non-tech,referral,2,4,76540
CAND-207,50,Male,Master,10,52,Company Website,QA Engineer,1,58,94,5,0,3,non-tech,portal,2,5,13271
CAND-208,57,Female,Bachelor,12,82,LinkedIn,Data Scientist,1,70,78,11,4,0,management,portal,3,4,55482
CAND-209,31,Male,Bachelor,2,50,LinkedIn,HR Analyst,0,72,32,1,3,0,non-tech,referral,3,4,10209
CAND-210,50,Female,Master,13,70,LinkedIn,HR Analyst,0,59,74,1,2,6,tech,portal,1,2,15539
CAND-211,30,Female,PhD,2,58,Recruiter,Software Engineer,0,52,43,4,2,18,non-tech,portal,2,1,29977
CAND-212,48,Male,Bachelor,14,63,LinkedIn,Data Scientist,1,88,59,3,4,0,non-tech,referral,3,3,84142
CAND-213,50,Female,Master,6,52,LinkedIn,Product Manager,0,69,47,10,1,3,non-tech,recruiter,1,2,78684
CAND-214,38,Female,Master,5,74,Company Website,Software Engineer,1,95,91,1,2,3,tech,portal,2,5,15607
CAND-215,49,Female,Master,7,67,LinkedIn,Data Scientist,0,75,66,2,4,0,non-tech,recruiter,1,2,95122
CAND-216,31,Male,Bachelor,6,62,Recruiter,Software Engineer,0,67,54,6,3,0,tech,recruiter,2,4,61939
CAND-217,24,Male,High School,2,52,Recruiter,HR Analyst,0,67,77,7,4,0,management,referral,1,3,28594
CAND-218,24,Non-binary,High School,4,42,Company Website,Data Scientist,0,48,94,11,2,0,tech,portal,2,3,68382
CAND-219,37,Female,Bachelor,6,66,Company Website,QA Engineer,0,55,82,5,3,0,tech,portal,1,5,17399
CAND-220,55,Female,Bachelor,12,56,Company Website,Data Scientist,0,82,44,10,4,0,tech,referral,2,3,35117
CAND-221,25,Female,Bachelor,4,55,LinkedIn,Software Engineer,0,54,78,4,0,0,tech,referral,3,3,43617
CAND-222,38,Male,Bachelor,9,46,LinkedIn,QA Engineer,0,42,41,0,3,6,non-tech,recruiter,3,2,17498
CAND-223,47,Non-binary,Bachelor,10,44,LinkedIn,Software Engineer,0,41,88,7,0,3,management,referral,3,3,60624
